ts,changsha,foshan,fuzhou,guangzhou,guiyang,kunming,nanchang,nanning,xiamen
1480,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1485,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1490,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1495,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1500,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1505,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1510,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1515,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1520,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1525,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1530,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1535,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1540,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1545,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1550,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1555,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1560,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1565,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1570,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1575,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1580,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1585,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1590,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1595,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1600,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1605,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1610,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1615,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1620,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1625,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1630,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1635,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1640,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1645,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1650,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1655,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1660,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1665,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1670,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1675,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1680,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1685,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1690,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1695,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1700,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1705,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1710,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1715,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1720,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1725,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1730,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1735,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1740,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1745,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1750,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1755,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1760,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1765,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1770,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1775,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1780,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1785,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1790,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1795,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1800,17.03,0.74,32.57,6.19,25.45,8.27,6.71,19.67,10.22
1805,17.03,0.74,32.57,6.19,25.45,8.27,6.71,19.67,10.22
1810,17.03,0.74,32.57,6.19,25.45,8.27,6.71,19.67,10.22
1815,17.03,0.74,32.57,6.19,25.45,8.27,6.71,19.67,10.22
1820,17.03,0.74,32.57,6.19,25.45,8.27,6.71,19.67,10.22
1825,17.03,0.74,32.57,6.19,25.45,8.27,6.71,19.67,10.22
1830,17.03,0.74,32.57,6.19,25.45,8.27,6.71,19.67,10.22
1835,17.03,0.74,32.57,6.19,25.45,8.27,6.71,19.67,10.22
1840,17.03,0.74,32.57,6.19,25.45,8.27,6.71,19.67,10.22
